Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID,In-Person Look
1,1,Roman Anthony,BOS,OF,2022,2025,20.9,1,0,,*05u9z*,Y
2,1,Dylan Crews,WSH,OF,2023,Debuted,22.8,2,0,UP,*0596e*,Y
3,1,Sebastian Walcott,TEX,"3B,SS",2023,2026,19,4,1,,*0662o*,Y
4,2,Kristian Campbell,BOS,"2B,SS,OF",2023,2025,22.8,3,-1,,*06f0q*,Y
5,2,Matt Shaw,CHC,"2B,3B,SS",2023,2025,23.4,5,0,,*063vu*,Y
6,2,Bubba Chandler,PIT,SP,2021,2025,22.5,11,5,,*05rik*,Y
7,2,Marcelo Mayer,BOS,SS,2021,2025,22.3,27,20,UP,*05r9j*,Y
8,2,Samuel Basallo,BAL,"C,1B",2021,2025,20.6,10,2,UP,*05rbv*,Y
9,2,Kevin McGonigle,DET,"2B,SS",2023,2026,20.6,26,17,,*05yby*,Y
10,2,Jackson Jobe,DET,SP,2021,Debuted,22.7,12,2,,*05rb0*,Y
11,3,Travis Bazzana,CLE,2B,2024,2025,22.6,6,-5,,*05zde*,
12,3,Max Clark,DET,OF,2023,2025,20.3,8,-4,,*05u9y*,Y
13,3,Jasson Dominguez,NYY,OF,2019,Debuted,22.1,7,-6,UP,*050c3*,Y
14,3,JJ Wetherholt,STL,SS,2024,2025,22.6,9,-5,,*06aw3*,
15,3,Andrew Painter,PHI,SP,2021,2025,22,13,-2,,*05r3i*,Y
16,3,Emmanuel Rodriguez,MIN,OF,2019,2025,22.1,14,-2,UP,*054p6*,Y
17,3,Walker Jenkins,MIN,OF,2023,2026,20.1,15,-2,,*05u3v*,Y
18,3,Dalton Rushing,LAD,"C,OF",2022,2025,24.1,17,-1,UP,*05xtz*,
19,3,Carson Williams,TB,SS,2021,2025,21.8,22,3,UP,*05t9n*,Y
20,3,Bryce Rainer,DET,SS,2024,2027,19.7,53,33,,*05yai*,Y
21,3,Bryce Eldridge,SF,1B,2023,2025,20.4,18,-3,,*05u96*,
22,3,Chase Dollander,COL,SP,2023,2025,23.4,19,-3,,*05yj0*,Y
23,3,Noah Schultz,CHW,SP,2022,2025,21.6,20,-3,,*05uc7*,Y
24,3,Leodalis De Vries,SD,SS,2024,2026,18.5,21,-3,,*067yc*,Y
25,3,Konnor Griffin,PIT,SS,2024,2027,18.9,52,27,,*05u3u*,Y
26,3,Zyhir Hope,LAD,OF,2023,2026,20.2,24,-2,,*06eyu*,Y
27,3,Jesus Made,MIL,SS,2024,2028,17.9,27,0,,*06ibv*,
28,4,Luke Keaschall,MIN,2B,2023,2025,22.6,45,17,,*05zh9*,Y
29,4,Cam Smith,HOU,3B,2024,2026,22.1,50,21,,*060jo*,
30,4,Jac Caglianone,KC,1B,2024,2025,22.1,43,13,,*05u9q*,Y
31,4,Nick Kurtz,ATH,1B,2024,2025,22,23,-8,,*062k5*,Y
32,4,George Lombard Jr.,NYY,SS,2023,2026,19.8,120,88,,*06b72*,Y
33,4,Coby Mayo,BAL,3B,2020,Debuted,23.3,16,-17,,*05js5*,Y
34,4,Drake Baldwin,ATL,C,2022,2025,24,60,26,,*0630d*,Y
35,4,Chase Burns,CIN,SP,2024,2025,22.2,56,21,,*05rb3*,
36,4,Quinn Mathews,STL,SP,2023,2025,24.5,28,-8,,*060gd*,
37,4,Thomas White,MIA,SP,2023,2026,20.5,29,-8,,*05tp6*,
38,4,Kumar Rocker,TEX,SP,2022,Debuted,25.4,30,-8,,*04azu*,Y
39,4,Hagen Smith,CHW,SP,2024,2025,21.6,57,18,,*05zd4*,Y
40,4,Travis Sykora,WSH,SP,2023,2026,20.9,31,-9,,*05ycl*,Y
41,4,Colt Emerson,SEA,SS,2023,2026,19.7,33,-8,,*060ub*,
42,4,Josue De Paula,LAD,OF,2022,2026,19.8,36,-6,,*061zv*,
43,4,Eduardo Quintero,LAD,OF,2023,2027,19.5,37,-6,,*06c79*,
44,4,Jaison Chourio,CLE,OF,2022,2027,19.9,65,21,,*05yix*,Y
45,4,Aidan Miller,PHI,SS,2023,2026,20.8,48,3,,*05u36*,Y
46,4,Felnin Celesten,SEA,SS,2023,2027,19.5,40,-6,,*05mx9*,
47,5,Jonny Farmelo,SEA,OF,2023,2026,20.6,35,-12,,*066sx*,
48,5,Braden Montgomery,CHW,OF,2024,2026,21.9,44,-4,,*05rcg*,Y
49,5,Jacob Wilson,ATH,SS,2023,Debuted,23,39,-10,,*0622t*,
50,5,Kyle Teel,CHW,C,2023,2025,23.1,49,-1,,*05wxy*,Y
51,5,Thayron Liranzo,DET,"C,1B",2021,2026,21.7,51,0,,*05r64*,Y
52,5,Angel Genao,CLE,SS,2021,2026,20.9,54,2,,*05r5e*,Y
53,5,Cam Collier,CIN,3B,2022,2026,20.4,59,6,,*05u1y*,Y
54,5,Christian Moore,LAA,2B,2024,2025,22.4,34,-20,,*06cq8*,
55,5,Colson Montgomery,CHW,SS,2021,2025,23.1,47,-8,,*05rch*,Y
56,5,Jarlin Susana,WSH,SP,2022,2026,21,68,12,,*05y7n*,Y
57,5,Brandon Sproat,NYM,SP,2023,2025,24.5,64,7,,*0515o*,
58,5,Michael Arroyo,SEA,2B,2022,2026,20.4,46,-12,,*05yid*,
59,5,Jett Williams,NYM,SS,2022,2025,21.4,41,-18,UP,*060la*,Y
60,5,Demetrio Crisantes,ARI,2B,2022,2026,20.6,78,18,,*064o4*,
61,5,Jordan Lawlar,ARI,SS,2021,Debuted,22.7,32,-29,,*05r1m*,Y
