Ranking,Player,Position,Team,Age,Prev Rank,Movement,Signed,ETA,In-Person Look,Tier,Player ID
321,Taitn Gray,C,TB,18,NR,NA,2025,2028,,12,*06y9r*
322,Caden Bodine,C,BAL,21.7,NR,NA,2025,2027,,12,*06c5r*
323,Luke Stevenson,C,SEA,21,NR,NA,2025,2027,,12,*06ieq*
324,Daniel Eagen,P,ARI,22.7,246,-78,2024,2026,Y,12,*06o03*
325,Andrew Salas,SS,MIA,17.4,247,-78,2025,2029,,12,*06psm*
326,Wyatt Sanford,SS,PIT,19.7,278,-48,2024,2027,Y,12,*06mnl*
327,Cristian Arguelles,OF,COL,18.1,430,103,2024,2028,,12,*06kkn*
328,Angel Feliz,SS,WSH,21.4,308,-20,2024,2028,Y,12,*06ibw*
329,Henry Baez,P,ATH,22.8,300,-29,2021,2025,,12,*05iyp*
330,Miguel Mendez,P,SD,23.2,471,141,2021,2026,,12,*06r8f*
331,River Ryan,P,LAD,27,253,-78,2021,Debuted,,12,*05ynx*
332,Juaron Watts-Brown,P,BAL,23.5,254,-78,2023,2026,Y,12,*062k6*
333,Tekoah Roby,P,STL,23.9,154,-179,2020,2025,Y,12,*05jqh*
334,Grant Kipp,P,CHC,25.7,257,-77,2022,2026,Y,12,*06c4z*
335,Cooper Flemming,SS,TB,19,NR,NA,2025,2028,,12,*06yxh*
336,Tim Piasentin,3B,TOR,18.4,NR,NA,2025,2028,,12,*06z7i*
337,Tate Southisene,SS,ATL,18.8,NR,NA,2025,2028,,12,*06rry*
338,Marek Houston,SS,MIN,21.3,NR,NA,2025,2027,,12,*06mps*
339,Cam Cannarella,OF,MIA,21.9,NR,NA,2025,2027,,12,*06c1j*
340,Ramon Ramirez,C,KC,20.2,196,-144,2023,2027,Y,12,*06cn0*
341,Ryan Ritter,SS,COL,24.7,259,-82,2022,Debuted,Y,12,*05xu2*
342,Nick Morabito,OF,NYM,22.3,275,-67,2022,2026,Y,12,*0630l*
343,Jesus Rodriguez,"C,3B",SF,23.3,316,-27,2018,2025,Y,12,*052h8*
344,Gabriel Rincones Jr.,OF,PHI,24.4,262,-82,2022,2025,Y,12,*0630f*
345,Miguel Bleis,OF,BOS,21.4,263,-82,2021,2026,Y,12,*05m1c*
346,Yanquiel Fernandez,OF,COL,22.6,248,-98,2019,Debuted,,12,*05g3k*
347,Blaze Jordan,"1B,3B",BOS,22.6,304,-43,2020,2025,Y,12,*04nq4*
348,Dauri Fernandez,2B,CLE,18.4,401,53,2024,2028,,12,*06kxm*
349,Jadher Areinamo,"2B,SS",TB,21.7,286,-63,2021,2026,Y,12,*062l0*
350,Boston Bateman,P,BAL,19.9,267,-83,2024,2027,,12,*06kkb*
351,Chase Shores,"1B,3B,SP",LAA,21.2,NR,NA,2025,2026,,12,*05ydu*
352,Patrick Copen,P,LAD,23.5,369,17,2023,2026,,12,*06at2*
353,Braxton Ashcraft,P,PIT,25.8,306,-47,2018,Debuted,Y,12,*04pmq*
354,Otto Kemp,"1B,2B,3B,OF",PHI,25.9,271,-83,2022,Debuted,Y,12,*066al*
355,Juan Brito,"1B,2B,3B",CLE,23.9,272,-83,2018,2025,Y,12,*05yhe*
356,Keyner Martinez,P,SF,21,NR,NA,2023,2027,,12,*06ut2*
357,Brandon Clarke,P,BOS,22.3,175,-182,2024,2026,Y,12,*06qif*
358,Ryan Gallagher,P,MIN,22.6,276,-82,2024,2026,,12,*062j9*
359,Elorky Rodriguez,OF,TEX,17.6,621,262,2025,2029,,12,*06rib*
360,Cameron Weston,P,BAL,25,279,-81,2022,2025,Y,12,*066b1*
361,Nick Yorke,2B,PIT,23.4,192,-169,2020,Debuted,Y,12,*05js7*
362,Noble Meyer,P,MIA,20.6,281,-81,2023,2026,,12,*062yr*
363,James Tibbs,OF,LAD,22.9,159,-204,2024,2026,,12,*066ir*
364,Zach Thornton,P,NYM,22.6,320,-44,2023,2026,,12,*06ekq*
365,Luinder Avila,P,KC,24,284,-81,2018,2026,Y,12,*06am5*
366,Franyerber Montilla,"2B,SS",DET,20.3,326,-40,2022,2026,Y,12,*064og*
367,Diego Tornes,OF,ATL,17.1,315,-52,2025,2029,,12,*06qhe*
368,Walker Janek,C,HOU,18.9,341,-27,2024,2026,Y,12,*06kkk*
369,Juan Sanchez,SS,TOR,17.9,752,383,2025,2028,,12,*06rgw*
370,Korbyn Dickerson,OF,SEA,21.8,NR,NA,2025,2027,,12,*067zd*
371,Ryan Mitchell,SS,STL,18.5,NR,NA,2025,2028,,12,*06y9v*
372,Marcus Phillips,P,BOS,21,NR,NA,2025,2027,,12,*06utf*
373,Aaron Watson,P,CIN,18.6,NR,NA,2025,2028,,12,*06qz9*
374,Druw Jones,OF,ARI,21.7,597,223,2022,2026,,12,*05tdk*
375,Dakota Jordan,OF,SF,22.3,362,-13,2024,2026,,12,*067yf*
376,Andrew Walters,P,CLE,24.7,350,-26,2023,Debuted,,12,*061a8*
377,Craig Yoho,P,MIL,25.8,351,-26,2023,Debuted,,12,*06fzq*
378,Stharlin Torres,P,CIN,19.1,307,-71,2024,2028,,12,*06o0r*
379,Yohandy Morales,"1B,3B",WSH,23.8,375,-4,2023,2025,Y,12,*05js4*
380,Wei-En Lin,P,ATH,19.8,333,-47,2024,2027,,13,*06op3*
381,Johan De Los Santos,SS,PIT,17,441,60,2025,2030,,13,*06r9b*
382,Joswa Lugo,SS,LAA,18.5,297,-85,2024,2028,,13,*06ica*
383,Josh Kasevich,SS,TOR,24.6,298,-85,2022,2025,Y,13,*060if*
384,Leonardo Bernal,C,STL,21.5,508,124,2021,2025,Y,13,*05rcw*
385,Will Sanders,P,CHC,23.4,346,-39,2023,2026,Y,13,*05jsf*
386,Eduardo Beltre,OF,MIN,18.8,301,-85,2024,2027,Y,13,*06icc*
387,Cobb Hightower,SS,BAL,20.4,370,-17,2024,2027,,13,*06o8p*
388,Luke Sinnard,P,ATL,22.8,255,-133,2024,2026,Y,13,*06c8x*
389,Yordanny Monegro,P,BOS,22.8,303,-86,2020,2026,Y,13,*06c28*
390,Coleman Crow,P,MIL,24.6,230,-160,2019,2025,Y,13,*0569p*
391,George Wolkow,OF,CHW,19.6,305,-86,2023,2026,Y,13,*05u2o*
392,Nolan Schubart,"1B,OF",CLE,21.2,NR,NA,2025,2027,,13,*05re4*
393,Joey Oakie,P,CLE,19.3,367,-26,2024,2027,,13,*06hf0*
394,Griffin Herring,P,COL,22.3,296,-98,2024,2026,,13,*06owe*
395,Jake Bloss,P,TOR,24.1,237,-158,2023,Debuted,Y,13,*06dqi*
396,Jose Anderson,OF,MIL,18.7,383,-13,2024,2028,,13,*06me6*
397,Yolfran Castillo,SS,TEX,18.5,311,-86,2024,2028,,13,*06icj*
398,Dean Moss,OF,TB,19.3,NR,NA,2025,2028,,13,*05y9c*
399,Josiah Hartshorn,1B,CHC,18.5,NR,NA,2025,2028,,13,*06ifw*
400,Coy James,SS,WSH,18.5,NR,NA,2025,2028,,13,*06alw*
401,James Quinn-Irons,OF,TB,22.1,NR,NA,2025,2028,,13,
402,Murf Gray,3B,PIT,21.6,NR,NA,2025,2028,,13,*06mvg*
403,Yandel Ricardo,SS,KC,18.8,335,-68,2024,2028,Y,13,*06ibq*
404,Sammy Stafura,SS,PIT,20.7,313,-91,2023,2026,,13,*06c1m*
405,Pedro Ramirez,"2B,3B",CHC,21.4,691,286,2021,2026,Y,13,*05vy9*
406,Ryan Forcucci,P,HOU,22.7,388,-18,2024,2026,,13,*06kkj*
407,Payton Eeles,"2B,SS",MIN,25.7,365,-42,2024,2025,Y,13,*06ltg*
408,Carson DeMartini,3B,PHI,22.6,317,-91,2024,2026,Y,13,*062ec*
409,Joendry Vargas,SS,LAD,19.8,164,-245,2023,2027,,13,*06625*
410,Chase Davis,OF,STL,23.7,336,-74,2023,2026,,13,*05jrf*
411,Lisbel Diaz,OF,SF,20.1,455,44,2023,2026,,13,*06dvu*
412,Yhoiker Fajardo,P,BOS,18.8,618,206,2024,2028,,13,*06mcc*
413,Jackson Kent,P,WSH,22.5,355,-58,2024,2026,Y,13,*06nuj*
414,Chen-Wei Lin,P,STL,23.7,321,-93,2023,2026,,13,*06cn1*
415,C.J. Culpepper,P,MIN,23.8,322,-93,2022,2025,Y,13,*065j0*
416,Adam Mazur,P,MIA,24.3,323,-93,2022,Debuted,,13,*060gg*
417,Jostin Florentino,P,CHC,20.7,NR,NA,2023,2027,,13,*06ifv*
418,K.C. Hunt,P,MIL,25.1,199,-219,2022,2026,,13,*066b3*
419,Everson Pereira,OF,TB,24.3,636,217,2017,Debuted,Y,13,*04is5*
420,Cristian Hernandez,"2B,SS",CHC,21.7,261,-159,2021,2026,Y,13,*05gwo*
421,Mikey Romero,SS,BOS,21.6,285,-136,2022,2026,Y,13,*05y7y*
422,Jeral Perez,"2B,SS",CHW,20.8,345,-77,2022,2026,Y,13,*061mj*
423,Eriq Swan,P,WSH,23.8,340,-83,2023,2026,Y,13,*06f0t*
424,Tirso Ornelas,OF,SD,25.4,327,-97,2016,Debuted,,13,*04aov*
425,Connor Essenburg,OF,ATL,18.9,NR,NA,2025,2028,,13,
426,Max Belyeu,OF,COL,21.7,NR,NA,2025,2028,,13,*06mpu*
427,Jordan Yost,SS,DET,18.6,NR,NA,2025,2028,,13,*06y4f*
428,James Ellwanger,P,MIN,21.2,NR,NA,2025,2028,,13,*06iet*
429,Miguel Sime Jr.,P,WSH,18.3,NR,NA,2025,2028,,13,
430,Michael Oliveto,C,DET,18.5,NR,NA,2025,2028,,13,*06xwb*
431,Blaine Bullard,OF,TEX,19,NR,NA,2025,2028,,13,
432,Christopher Suero,"C,1B,OF",NYM,21.5,329,-103,2022,2026,,13,*06lfg*
433,Josh Hartle,P,CLE,22.4,444,11,2024,2026,,13,*05t7b*
434,Drew Beam,P,KC,19.5,352,-82,2024,2026,Y,13,*060ig*
435,Asbel Gonzalez,OF,KC,19.6,291,-144,2023,2026,Y,13,*06akw*
436,Ty Floyd,P,CIN,24,332,-104,2023,2027,,13,*05u2l*
437,Blake Burke,1B,MIL,22.2,289,-148,2024,2026,,13,*062jb*
438,Tyler Black,1B,MIL,25,378,-60,2021,Debuted,2027,13,*05u2u*
439,Victor Figueroa,1B,BAL,21.6,392,-47,2024,2027,,13,*06nv7*
440,Deyvison De Los Santos,"1B,3B",MIA,22.1,338,-102,2019,2025,Y,13,*05nsq*
441,Luis Arana,"3B,SS",MIA,17.4,447,6,2024,2029,,13,*06uwm*
442,Malcolm Moore,C,TEX,22,342,-100,2024,2026,Y,13,*05y7u*
443,Caleb Lomavita,C,WSH,22.7,343,-100,2024,2026,Y,13,*06ibi*
444,Omar Alfonzo,"C,1B",PIT,22,344,-100,2021,2026,Y,13,*05m6e*
445,Ethan Wagner,OF,HOU,20,781,336,2024,2027,,13,*06qq0*
446,Jedixson Paez,P,BOS,21.6,347,-99,2021,2026,Y,13,*05xzr*
447,Nelson Rada,OF,LAA,20,348,-99,2022,2027,,13,*05yib*
448,Jorge Quintana,SS,SD,18.3,555,107,2024,2028,,13,*06ibm*
449,Sam Shaw,2B,TOR,20.4,269,-180,2023,2026,Y,13,*06gid*
450,Landen Maroudis,P,TOR,20.6,331,-119,2023,2027,,13,*06dq2*
451,Enddy Azocar,OF,BOS,18.5,353,-98,2024,2028,,13,*06nln*
452,Cameron Millar,P,KC,18.3,NR,NA,2025,2028,,13,*06z7r*
453,Michael Lombardi,P,KC,21.9,NR,NA,2025,2028,,13,*06yez*
454,Matthew Fisher,P,PHI,19.4,NR,NA,2025,2028,,13,*06uth*
455,CJ Gray,P,LAA,18.5,NR,NA,2025,2028,,13,*06zcz*
456,Reinold Navarro,P,PIT,18.8,NR,NA,2025,2028,,13,*06mq3*
457,Ixan Henderson,P,STL,23.5,354,-103,2023,2026,Y,13,*06fzn*
458,Handelfry Encarnacion,OF,MIL,18.2,440,-18,2024,2028,,13,*06kv2*
459,Jogly Garcia,P,CLE,21.9,426,-33,2022,2027,,13,*06c5f*
460,Kyle Carr,P,NYY,23.3,647,187,2023,2025,Y,13,*06dmq*
461,Henry Godbout,SS,BOS,21.8,NR,NA,2025,2028,,13,*06am1*
462,Jose Bello,P,BOS,20.2,931,469,2024,2028,,13,*06mmn*
463,Seaver King,SS,WSH,22.3,358,-105,2024,2026,Y,13,*06cq7*
464,Axiel Plaz,"C,1B",PIT,20,359,-105,2022,2027,Y,13,*0622o*
465,Eddie Rynders,3B,PIT,19.8,360,-105,2024,2027,Y,13,*06o0f*
466,Stiven Martinez,OF,BAL,18,295,-171,2024,2027,Y,13,*06jh5*
467,Kyle DeGroat,P,KC,19.5,396,-71,2024,2027,,13,*06qsh*
468,Braden Davis,P,STL,22.3,671,203,2024,2027,,13,*06qi2*
469,Owen Hall,P,DET,19.7,363,-106,2024,2027,,13,*06hey*
470,Trey Gregory-Alford,P,LAA,19.3,436,-34,2024,2027,,13,*06kk7*
471,Emiliano Teodo,P,TEX,24.5,366,-105,2020,2025,Y,13,*05uo4*
472,Rayven Antonio,P,ATL,19.4,456,-16,2023,2027,,13,*06rnz*
473,Dylan Dreiling,OF,TEX,22.3,302,-171,2024,2026,Y,13,*06kk8*
474,Sean Sullivan,P,COL,23.1,405,-69,2023,2026,,13,*06ahu*
475,Frank Elissalt,P,STL,23.4,612,137,2024,2026,Y,13,*06oog*
476,Andrew Morris,P,MIN,23.9,374,-102,2022,2025,Y,13,*0648r*
477,Kai-Wei Teng,P,SF,26.7,573,96,2018,Debuted,,13,*04zay*
478,Grant Shepardson,P,MIA,19.8,377,-101,2024,2027,,13,*06p60*
479,Yasmil Bucce,"C,1B",BAL,21,379,-100,2021,2027,Y,13,*060p1*
480,Talon Haley,P,LAA,19.5,NR,NA,2025,2028,,13,
481,Xavier Mitchell,P,LAA,19.1,NR,NA,2025,2028,,13,
482,Joseph Dzierwa,P,BAL,21.3,NR,NA,2025,2028,,13,*06rre*
483,J.D. Thompson,P,MIL,21.9,NR,NA,2025,2028,,13,*06r4c*
484,Frank Cairone,P,MIL,17.9,NR,NA,2025,2028,,13,*06z9a*
485,Dean Livingston,P,ARI,18.8,NR,NA,2025,2028,,13,*06yxi*
486,Chris Cortez,P,LAA,22.8,381,-105,2024,2025,,13,*066kw*
487,Yoeilin Cespedes,SS,BOS,19.9,382,-105,2023,2027,Y,13,*066mn*
488,Hayden Alvarez,OF,LAA,18.4,448,-40,2024,2029,,13,*06jfc*
489,Eli Lovich,OF,CHC,20,461,-28,2024,2027,,13,*06qev*
490,Jose Feliz,P,WSH,19.8,385,-105,2024,2028,,13,*06k85*
491,Paulino Santana,OF,TEX,18.7,386,-105,2024,2027,,13,*06ho7*
492,Lucas Elissalt,P,DET,21.1,731,239,2024,2027,,13,*06qti*
493,Jaden Hamm,P,DET,22.9,387,-106,2023,2025,Y,13,*06f0u*
494,Nathan Church,OF,STL,25.1,653,159,2022,2025,Y,13,*064n8*
495,Kendall George,OF,LAD,20.8,389,-106,2023,2026,,13,*06cql*
496,Robert Arias,OF,CLE,18.9,410,-86,2024,2028,,13,*06ibn*
497,Tony Blanco Jr.,UT,PIT,20.2,391,-106,2022,2027,Y,13,*05yci*
498,Joshua Kuroda-Grauer,SS,ATH,22.5,400,-98,2024,2026,,13,*06nue*
499,Maykel Coret,OF,TB,17.9,393,-106,2025,2029,,13,*06qhg*
500,Tzu-Chen Sha,P,ATH,21.8,395,-105,2024,2027,,13,*06c29*
