Ranking,Player,Position,Team,Age,Prev Rank,Movement,Signed,ETA,In-Person Look,Tier,Player ID
64,Cam Collier,3B,CIN,20.7,49,-15,2022,2026,Y,6,*05u1y*
65,Mike Sirota,OF,LAD,22.2,60,-5,2024,2026,,6,*066ip*
66,Theo Gillen,OF,TB,19.9,61,-5,2024,2027,Y,6,*05u2m*
67,Owen Caissie,OF,CHC,23.1,119,52,2020,2025,Y,6,*05jsg*
68,Payton Tolle,P,BOS,22.8,73,5,2024,2026,Y,6,*06gwk*
69,Luke Dickerson,SS,WSH,20,52,-17,2024,2027,Y,6,*06mne*
70,Nolan McLean,"UT,SP",NYM,24,89,19,2023,2026,,6,*05y7s*
71,Liam Doyle,P,STL,21.2,NR,NA,2025,2026,,6,*06roc*
72,Ricky Tiedemann,P,TOR,23,63,-9,2021,2026,Y,6,*05js6*
73,Hagen Smith,P,CHW,22,65,-8,2024,2025,Y,6,*05zd4*
74,Trey Yesavage,P,TOR,22,66,-8,2024,2026,Y,6,*06apx*
75,Luis Morales,P,ATH,22.9,67,-8,2023,2026,,6,*0662m*
76,Quinn Mathews,P,STL,24.8,58,-18,2023,2025,,6,*060gd*
77,Grant Taylor,P,CHW,23.2,69,-8,2023,Debuted,Y,6,*066er*
78,Eduardo Tait,C,MIN,19,70,-8,2023,2027,Y,6,*06bsb*
79,Franklin Arias,"2B,SS",BOS,19.7,51,-28,2023,2027,Y,6,*06c78*
80,Colson Montgomery,"3B,SS",CHW,23.4,72,-8,2021,Debuted,Y,6,*05rch*
81,Jarlin Susana,P,WSH,21.4,138,57,2022,2026,Y,6,*05y7n*
82,Ryan Clifford,"1B,OF",NYM,22.1,117,35,2022,2025,Y,6,*05ge1*
83,Ethan Holliday,3B,COL,18.5,NR,NA,2025,2028,,6,*062cx*
84,Josuar De Jesus Gonzalez,SS,SF,17.8,163,79,2025,2028,,6,*06ps2*
85,Gage Jump,P,ATH,22.3,84,-1,2024,2026,Y,7,*05t9g*
86,Khal Stephen,P,CLE,22.6,96,10,2024,2027,Y,7,*06nub*
87,Kaelen Culpepper,SS,MIN,22.6,98,11,2024,2026,Y,7,*06hx4*
88,Cam Schlittler,P,NYY,24.5,77,-11,2022,Debuted,,7,*05u6q*
89,Noah Schultz,P,CHW,22,45,-44,2022,2025,Y,7,*05uc7*
90,Hunter Barco,P,PIT,24.7,79,-11,2022,2025,Y,7,*04nb5*
91,Cam Caminiti,P,ATL,19,80,-11,2024,2026,Y,7,*062e0*
92,Johnny King,P,TOR,19,111,19,2024,2027,,7,*06n3o*
93,Rainiel Rodriguez,C,STL,18.6,95,2,2024,2027,,7,*06mnp*
94,Colby Thomas,OF,ATH,24.5,83,-11,2022,Debuted,Y,7,*0630e*
95,Logan Henderson,P,MIL,23.4,78,-17,2021,Debuted,Y,7,*05uo2*
96,Troy Melton,P,DET,24.7,187,91,2022,Debuted,Y,7,*05uc4*
97,Didier Fuentes,P,ATL,20.1,85,-12,2022,Debuted,Y,7,*064zm*
98,J.R. Ritchie,P,ATL,22.1,86,-12,2022,2026,Y,7,*05tzo*
99,Luis Perales,P,BOS,22.3,76,-23,2019,2026,Y,7,*05gd5*
100,Harry Ford,C,SEA,22.5,87,-13,2021,2025,Y,7,*05raw*
101,Dylan Beavers,OF,BAL,24,204,103,2022,2025,Y,7,*05xty*
102,Spencer Jones,OF,NYY,24.2,210,108,2022,2026,Y,7,*04yi8*
103,Carlos Lagrange,P,NYY,22.2,142,39,2022,2026,Y,7,*062h4*
104,Owen Murphy,P,ATL,21.9,106,2,2022,2026,Y,7,*062pm*
105,Caleb Bonemer,SS,CHW,19.8,91,-14,2024,2027,,7,*06hea*
106,Felnin Celesten,SS,SEA,19.9,75,-31,2023,2027,Y,7,*05mx9*
107,Charlie Condon,OF,COL,22.4,130,23,2024,2026,Y,7,*06alk*
108,Hector Rodriguez,OF,CIN,21.4,116,8,2021,2026,,7,*05xse*
109,Drew Gilbert,OF,SF,24.9,81,-28,2022,2025,Y,7,*05xu0*
110,Kyson Witherspoon,P,BOS,21,NR,NA,2025,2027,,7,*06ms5*
111,Kyle Karros,3B,COL,23,103,-8,2023,2025,,7,*06dsa*
112,Tyler Bremner,P,LAA,21.3,NR,NA,2025,2026,,7,*06icx*
113,Jacob Reimer,3B,NYM,21.5,97,-16,2022,2026,Y,8,*06481*
114,Billy Carlson,SS,CHW,19,NR,NA,2025,2028,,8,*06alq*
115,Brandon Sproat,P,NYM,24.9,223,108,2023,2025,,8,*0515o*
116,Justin Crawford,OF,PHI,21.6,82,-34,2022,2026,Y,8,*05y30*
117,Brock Wilken,3B,MIL,23.1,101,-16,2023,2026,Y,8,*05ubi*
118,Jack Perkins,P,ATH,25.6,102,-16,2022,Debuted,Y,8,*0657l*
119,Brice Matthews,"2B,3B,SS",HOU,23.4,115,-4,2023,Debuted,Y,8,*06c36*
120,Trey Gibson,P,BAL,23.2,128,8,2023,2025,,8,*06mc1*
121,Kendry Chourio,P,KC,17.9,315,194,2025,2029,Y,8,*06rm6*
122,Jacob Melton,OF,HOU,24.9,105,-17,2022,Debuted,Y,8,*061gx*
123,Jhonny Level,SS,SF,18.4,171,48,2024,2028,,8,*06ich*
124,A.J. Ewing,"2B,OF",NYM,21,148,24,2023,2026,Y,8,*06dn7*
125,Thayron Liranzo,"C,1B",DET,22.1,134,9,2021,2026,Y,8,*05r64*
126,Nestor German,P,BAL,23.5,90,-36,2023,2026,Y,8,*06gjv*
127,Santiago Suarez,P,TB,20.6,108,-19,2022,2026,Y,8,*0620x*
128,Jurrangelo Cijntje,P,SEA,22.2,109,-19,2024,2026,Y,8,*060m8*
129,Termarr Johnson,"2B,SS",PIT,21.2,121,-8,2022,2026,Y,8,*05rc5*
130,JD Dix,SS,ARI,19.8,193,63,2024,2027,,8,*066j0*
131,Cole Carrigg,OF,COL,23.3,100,-31,2023,2025,,8,*066eo*
