Ranking,Player,Position,Team,Age,Prev Rank,Movement,Signed,ETA,In-Person Look,Tier,Player ID
319,Patrick Forbes,P,ARI,21.5,300,-19,2025,2027,,11,*06roe*
320,J.D. Thompson,P,MIL,22.3,335,15,2025,2028,,11,*06r4c*
321,Anthony Eyanson,P,BOS,21.3,302,-19,2025,2027,,11,*06mph*
322,Trey Gregory-Alford,P,LAA,19.7,304,-18,2024,2027,,11,*06kk7*
323,Roc Riggio,2B,COL,23.6,305,-18,2023,2026,Y,11,*060fx*
324,Nate Dohm,P,STL,23.1,306,-18,2024,2026,,11,*06nug*
325,Jake Bennett,P,BOS,25.2,853,528,2022,2026,,11,*060i2*
326,Carson Whisenhunt,P,SF,25.3,308,-18,2022,Debuted,Y,11,*05y7v*
327,Thayron Liranzo,C,DET,22.6,130,-197,2021,2026,Y,11,*05r64*
328,Joe Whitman,P,SF,24.4,310,-18,2023,2026,,11,*06c1l*
329,Keyner Martinez,P,SF,21.4,311,-18,2023,2027,,11,*06ut2*
330,Coy James,SS,WSH,18.9,312,-18,2025,2028,,11,*06alw*
331,Jamie Quinn-Irons,OF,TB,22.6,405,74,2025,2027,,11,*06vxv*
332,Sean Gamble,SS,KC,19.6,314,-18,2025,2028,,11,*062cy*
333,Dylan Jordan,P,LAA,20.3,345,12,2024,2027,,11,*06p61*
334,Aidan West,SS,LAD,18.8,316,-18,2025,2028,,11,*06z9d*
335,Ethan Petry,OF,WSH,21.6,284,-51,2025,2027,Y,11,*05yff*
336,Jesus Baez,"3B,SS",STL,20.9,183,-153,2022,2026,Y,11,*061rf*
337,Yorger Bautista,OF,SEA,18.4,319,-18,2025,2029,,11,*06ps3*
338,Ramon Ramirez,C,KC,20.6,320,-18,2023,2027,Y,11,*06cn0*
339,Kane Kepley,OF,CHC,22,487,148,2025,2027,Y,11,*06qwv*
340,Max Belyeu,OF,COL,22.1,322,-18,2025,2028,,11,*06mpu*
341,K.C. Hunt,P,MIL,25.5,323,-18,2022,2026,,12,*066b3*
342,Brendan Tunink,OF,LAD,20.3,324,-18,2024,2027,,12,*06q33*
343,Miguel Ullola,P,HOU,23.6,325,-18,2021,2025,Y,12,*061xq*
344,A.J. Blubaugh,P,HOU,25.5,384,40,2022,Debuted,,12,*0649e*
345,Kellon Lindsey,SS,LAD,20.4,327,-18,2024,2027,,12,*06kxe*
346,Abimelec Ortiz,"1B,OF",TEX,23.9,328,-18,2021,2025,Y,12,*05uv5*
347,Josh Hartle,P,CLE,22.8,329,-18,2024,2026,,12,*05t7b*
348,Lucas Spence,OF,HOU,23,330,-18,2024,2027,Y,12,*06qjw*
349,Dauri Fernandez,SS,CLE,18.9,331,-18,2024,2028,,12,*06kxm*
350,Edwin Arroyo,SS,CIN,22.4,332,-18,2021,2026,Y,12,*05rcj*
351,Franyerber Montilla,"2B,SS",DET,20.8,333,-18,2022,2026,Y,12,*064og*
352,Andrew Salas,OF,MIA,17.9,334,-18,2025,2029,,12,*06psm*
353,Marcus Phillips,P,BOS,21.5,420,67,2025,2027,,12,*06utf*
354,James Triantos,"2B,3B,OF",CHC,23,336,-18,2021,2026,Y,12,*05ucf*
355,Starlyn Caba,SS,MIA,20.1,337,-18,2023,2027,Y,12,*066mx*
356,Adrian Bohorquez,P,MIN,20.9,338,-18,2023,2026,Y,12,*06ltf*
357,Kahlil Watson,"SS,OF",CLE,22.8,434,77,2021,2025,,12,*05rau*
358,Brendan Jones,OF,MIA,23.8,340,-18,2024,2026,Y,12,*06lp5*
359,Taitn Gray,C,TB,18.4,341,-18,2025,2028,,12,*06y9r*
360,Marek Houston,SS,MIN,21.8,315,-45,2025,2027,,12,*06mps*
361,Ethan Salas,C,SD,19.7,343,-18,2023,2026,Y,12,*05ybr*
362,Liomar Martinez,P,MIA,20.6,344,-18,2022,2027,,12,*06s7q*
363,Zac Veen,OF,COL,24.1,252,-111,2020,Debuted,Y,12,*05gbg*
364,Henry Baez,P,ATH,23.3,346,-18,2021,2026,,12,*05iyp*
365,Angel Feliz,SS,WSH,21.9,347,-18,2024,2028,Y,12,*06ibw*
366,Wyatt Sanford,"2B,SS",PIT,20.2,348,-18,2024,2027,Y,12,*06mnl*
367,Griffin Burkholder,OF,PHI,20.4,349,-18,2024,2027,Y,12,*06mnj*
368,Ryan Forcucci,P,HOU,23.2,350,-18,2024,2026,,12,*06kkj*
369,Dakota Jordan,OF,SF,22.7,351,-18,2024,2026,,12,*067yf*
370,River Ryan,P,LAD,27.5,352,-18,2021,Debuted,,12,*05ynx*
371,Druw Jones,OF,ARI,22.2,353,-18,2022,2026,,12,*05tdk*
372,Blade Tidwell,P,SF,24.6,354,-18,2022,2025,,12,*05u2q*
373,Tekoah Roby,P,STL,24.4,355,-18,2020,2026,Y,12,*05jqh*
374,Pedro Ramirez,"2B,SS",CHC,21.8,356,-18,2021,2026,Y,12,*05vy9*
375,Leandro Lopez,P,TEX,23.6,357,-18,2021,2026,Y,12,*06pfc*
376,Bryce Mayer,P,HOU,24,358,-18,2024,2027,,12,*06qra*
377,Gavin Turley,OF,ATH,22.2,303,-74,2025,2027,,12,*05y7w*
378,Landyn Vidourek,OF,LAD,22.2,360,-18,2025,2028,,12,*06yqy*
379,Tim Piasentin,3B,TOR,18.8,361,-18,2025,2028,,12,*06z7i*
380,Sam Petersen,OF,WSH,23,362,-18,2024,2027,Y,12,*06o08*
381,Trevor McDonald,P,SF,24.9,471,90,2019,Debuted,,12,*0518g*
382,Kyle Carr,P,NYY,23.7,363,-19,2023,2026,Y,12,*06dmq*
383,Henry Godbout,2B,BOS,22.2,468,85,2025,2028,Y,12,*06am1*
384,Tate Southisene,SS,ATL,19.3,364,-20,2025,2028,Y,12,*06rry*
385,Jeancer Custodio,OF,PIT,17.2,NR,NA,2026,2031,,12,*07249*
386,Santiago Solarte,SS,MIA,17.2,NR,NA,2026,2031,,12,*072ds*
387,Kade Snell,OF,CHC,23.5,NR,NA,2025,2027,,12,*06zag*
388,Jaron DeBerry,P,MIL,23.4,365,-23,2024,2026,,12,*06o8r*
389,Cam Cannarella,OF,MIA,22.4,366,-23,2025,2027,Y,12,*06c1j*
390,Clark Elliott,OF,ATH,25.3,367,-23,2022,2026,,12,*0603n*
391,James Tibbs,OF,LAD,23.3,368,-23,2024,2026,Y,12,*066ir*
392,Nick Morabito,OF,NYM,22.7,369,-23,2022,2026,Y,12,*0630l*
393,Raudi Rodriguez,OF,LAA,22.6,370,-23,2023,2027,,12,*06hoc*
394,Jesus Rodriguez,C,SF,23.8,371,-23,2018,2026,Y,12,*052h8*
395,Gabriel Rincones Jr.,OF,PHI,24.9,372,-23,2022,2026,Y,12,*0630f*
396,Miguel Bleis,OF,BOS,21.9,373,-23,2021,2026,Y,12,*05m1c*
397,Richard Matic,3B,NYY,18.5,374,-23,2024,2028,,12,*06jd5*
398,Core Jackson,SS,NYY,22.3,NR,NA,2025,2028,,12,*06yyj*
399,Seaver King,SS,WSH,22.8,375,-24,2024,2026,Y,12,*06cq7*
400,Tommy White,3B,ATH,22.9,376,-24,2024,2026,Y,12,*05tp7*
401,Sterlin Thompson,OF,COL,24.6,377,-24,2022,2026,Y,12,*05jsc*
402,Blaze Jordan,"1B,3B",STL,23.1,378,-24,2020,2026,Y,12,*04nq4*
403,Tanner Franklin,P,STL,21.7,541,138,2025,2028,,12,*06yjx*
404,Johnny Slawinski,P,LAA,18.9,379,-25,2025,2028,,12,*06y9s*
405,Owen Carey,OF,ATL,19.5,380,-25,2024,2027,Y,12,*06qrv*
406,Elorky Rodriguez,OF,TEX,18.1,381,-25,2025,2029,,12,*06rib*
407,Patrick Copen,P,LAD,24,382,-25,2023,2026,,12,*06at2*
408,Jadher Areinamo,"2B,SS",TB,22.2,383,-25,2021,2026,Y,12,*062l0*
409,Johan De Los Santos,"2B,SS",PIT,17.5,384,-25,2025,2030,,12,*06r9b*
410,Deniel Ortiz,"1B,3B",STL,21.4,385,-25,2024,2027,,12,*06pg4*
411,Daniel Espino,P,CLE,25.1,922,511,2019,2026,,12,*04ya2*
412,Chase Shores,P,LAA,21.7,386,-26,2025,2026,,12,*05ydu*
413,Ryan Gallagher,P,MIN,23,387,-26,2024,2026,,12,*062j9*
414,Enddy Azocar,OF,BOS,18.9,388,-26,2024,2028,Y,12,*06nln*
415,PJ Morlando,OF,MIA,20.7,389,-26,2024,2027,Y,12,*06328*
416,Izaac Pacheco,3B,DET,23.2,390,-26,2021,2027,Y,12,*05rax*
417,Yohandy Morales,"1B,3B",WSH,24.3,391,-26,2023,2026,Y,12,*05js4*
418,Ben Kudrna,P,KC,23,392,-26,2021,2026,Y,12,*05t9i*
419,Juan Brito,"2B,SS",CLE,24.3,393,-26,2018,2026,Y,12,*05yhe*
420,Kalai Rosario,OF,MIN,23.6,394,-26,2020,2026,Y,12,*05js9*
421,Kemp Alderman,OF,MIA,23.4,395,-26,2023,2026,Y,12,*06ahe*
422,Brendan Girton,P,NYM,24.2,396,-26,2024,2027,Y,12,*06qid*
423,Will Sanders,P,CHC,23.8,397,-26,2023,2026,Y,12,*05jsf*
424,Brandon Clarke,P,STL,22.8,398,-26,2024,2026,Y,12,*06qif*
425,Noble Meyer,P,MIA,21,399,-26,2023,2026,,12,*062yr*
426,Cade Smith,P,NYY,23.8,434,8,2023,2026,Y,12,*06f15*
427,Cobb Hightower,SS,BAL,20.9,400,-27,2024,2027,,12,*06o8p*
428,Cristian Arguelles,OF,COL,18.6,401,-27,2024,2028,,12,*06kkn*
429,Walker Janek,C,HOU,19.3,402,-27,2024,2026,Y,12,*06kkk*
430,Josiah Hartshorn,"1B,OF",CHC,19,403,-27,2025,2028,,12,*06ifw*
431,Zach Ehrhard,OF,LAD,23,404,-27,2024,2026,Y,12,*066l0*
432,Murf Gray,3B,PIT,22.1,460,28,2025,2028,,12,*06mvg*
433,Zach Thornton,P,NYM,23,406,-27,2023,2026,,12,*06ekq*
434,Luinder Avila,P,KC,24.4,407,-27,2018,Debuted,Y,12,*06am5*
435,David Sandlin,P,BOS,24.9,408,-27,2022,2026,Y,12,*062pn*
436,Angel De Los Santos,SS,DET,17.9,409,-27,2025,2029,,12,*06ytb*
437,Hayden Alvarez,OF,LAA,18.9,410,-27,2024,2029,,12,*06jfc*
438,Mikey Romero,"2B,3B,SS",BOS,22,411,-27,2022,2026,Y,12,*05y7y*
439,Juan Cabada,2B,CHC,17.7,412,-27,2025,2029,,12,*06qsc*
440,Kendall George,OF,LAD,21.2,413,-27,2023,2026,,12,*06cql*
441,Jordan Sanchez,OF,BAL,20.3,414,-27,2024,2027,Y,12,*06ie9*
442,Parker Smith,P,HOU,22.9,415,-27,2024,2026,,12,*06oo2*
443,Stharlin Torres,P,CIN,19.6,416,-27,2024,2028,,12,*06o0r*
444,Kelvis Salcedo,P,DET,20,498,54,2023,2027,Y,12,*06m8k*
445,Ryan Mitchell,SS,STL,19,419,-26,2025,2028,,12,*06y9v*
446,Jordan Yost,SS,DET,19.1,483,37,2025,2028,,12,*06y4f*
447,Aaron Watson,P,CIN,19.1,421,-26,2025,2028,,12,*06qz9*
448,Luke Sinnard,P,ATL,23.3,422,-26,2024,2026,Y,12,*06c8x*
449,Kyle Lodise,SS,CHW,22.3,523,74,2025,2027,,12,*06rud*
450,Callan Moss,1B,PIT,22.4,423,-27,2024,2026,Y,12,*06pk8*
451,Charles McAdoo,3B,TOR,23.9,424,-27,2023,2025,Y,12,*06f0z*
452,Cooper Kinney,"2B,3B",TB,22.2,425,-27,2021,2026,Y,12,*05ua8*
453,Andrew Walters,P,CLE,25.1,426,-27,2023,Debuted,,12,*061a8*
454,Craig Yoho,P,MIL,26.3,427,-27,2023,Debuted,,12,*06fzq*
455,Payton Eeles,"2B,SS",BAL,26.2,428,-27,2024,2026,Y,12,*06ltg*
456,Sean Keys,"1B,3B",TOR,22.7,429,-27,2024,2026,Y,12,*06oo7*
457,Wilder Dalis,"3B,SS",COL,19.5,430,-27,2023,2028,,12,*06r8g*
458,Anthony Huezo,OF,HOU,20.2,431,-27,2023,2027,Y,12,*06eys*
459,Junior Perez,OF,ATH,24.6,432,-27,2018,2026,Y,12,*0558r*
460,Yeremi Cabrera,OF,TEX,20.6,433,-27,2022,2027,Y,12,*06c3v*
461,Ixan Henderson,P,STL,24,434,-27,2023,2026,Y,13,*06fzn*
462,Yorman Gomez,P,CLE,23.2,435,-27,2019,2026,,13,*061v6*
463,Nolan Schubart,1B,CLE,21.7,436,-27,2025,2027,,13,*05re4*
464,Joswa Lugo,SS,LAA,19,437,-27,2024,2028,,13,*06ica*
465,Wilber Dotel,P,PIT,23.3,438,-27,2020,2026,Y,13,*05t5k*
466,Josh Kasevich,SS,TOR,25,439,-27,2022,2026,Y,13,*060if*
467,Yandel Ricardo,SS,KC,19.3,440,-27,2024,2028,Y,13,*06ibq*
468,Joseph Dzierwa,P,BAL,21.8,538,70,2025,2028,,13,*06rre*
469,Cameron Millar,P,KC,18.7,510,41,2025,2028,,13,*06z7r*
470,Cameron Weston,P,BAL,25.4,441,-29,2022,2026,Y,13,*066b1*
471,Christian Franklin,OF,WSH,26.2,442,-29,2021,2025,Y,13,*05rb5*
472,Eduardo Beltre,OF,MIN,19.3,443,-29,2024,2027,Y,13,*06icc*
473,Nathan Church,OF,STL,25.5,525,52,2022,Debuted,Y,13,*064n8*
474,Tony Blanco Jr.,1B,PIT,20.7,496,22,2022,2027,Y,13,*05yci*
475,Yordanny Monegro,P,BOS,23.3,446,-29,2020,2026,Y,13,*06c28*
476,Jackson Kent,P,WSH,23,447,-29,2024,2026,Y,13,*06nuj*
477,George Wolkow,OF,CHW,20,448,-29,2023,2026,Y,13,*05u2o*
478,Joendry Vargas,SS,LAD,20.2,449,-29,2023,2027,,13,*06625*
479,Lisbel Diaz,OF,SF,20.5,450,-29,2023,2026,,13,*06dvu*
480,Jansel Luis,"2B,3B",ARI,20.9,451,-29,2022,2027,,13,*061zn*
481,Griffin Herring,P,COL,22.7,452,-29,2024,2026,,13,*06owe*
482,Jake Bloss,P,TOR,24.6,453,-29,2023,Debuted,Y,13,*06dqi*
483,Jose Anderson,OF,MIL,19.2,454,-29,2024,2028,Y,13,*06me6*
484,Carson DeMartini,"3B,SS",PHI,23.1,455,-29,2024,2026,Y,13,*062ec*
485,Dean Moss,OF,TB,19.8,456,-29,2025,2028,,13,*05y9c*
486,Jared Sundstrom,OF,SEA,24.6,936,450,2023,2026,Y,13,*06gjf*
487,Maxton Martin,OF,TEX,20.7,458,-29,2023,2027,Y,13,*06gjp*
488,Eric Hartman,"2B,OF",ATL,19.6,459,-29,2024,2027,Y,13,*06pi0*
489,Michael Oliveto,C,DET,19,486,-3,2025,2028,,13,*06xwb*
490,Ty Floyd,P,CIN,24.4,461,-29,2023,2027,,13,*05u2l*
491,Cameron Cauley,"2B,SS,OF",TEX,23,664,173,2021,2026,Y,13,*05uvx*
492,Josue Brito,1B,BOS,18.8,463,-29,2024,2028,,13,*06r3g*
493,Lucas Braun,P,ATL,24.4,464,-29,2023,2026,Y,13,*06f18*
494,Drew Beam,P,KC,20,465,-29,2024,2026,Y,13,*060ig*
495,Jedixson Paez,P,CHW,22,466,-29,2021,2026,Y,13,*05xzr*
496,Gerelmi Maldonado,P,SF,22.1,467,-29,2021,2027,,13,*0620s*
497,Malachi Witherspoon,P,DET,21.5,552,55,2025,2028,,13,*06yjc*
498,Korbyn Dickerson,OF,SEA,22.2,418,-80,2025,2027,,13,*067zd*
499,Blaine Bullard,OF,TOR,19.4,488,-11,2025,2028,,13,*070c6*
500,Eli Pitts,OF,CIN,19.2,NR,NA,2025,2028,,13,*06zfm*
