Ranking,Player,Position,Team,Age,Prev Rank,Movement,Signed,ETA,In-Person Look,Tier,Player ID
64,Jarlin Susana,P,WSH,21.8,56,-8,2022,2026,Y,5,*05y7n*
65,Carson Williams,SS,TB,22.6,57,-8,2021,Debuted,Y,5,*05t9n*
66,Ryan Clifford,"1B,OF",NYM,22.5,58,-8,2022,2026,Y,5,*05ge1*
67,Chase DeLauter,OF,CLE,24.3,59,-8,2022,2026,Y,5,*05uei*
68,Theo Gillen,OF,TB,20.4,67,-1,2024,2027,Y,5,*05u2m*
69,Trey Gibson,P,BAL,23.7,91,22,2023,2025,Y,6,*06mc1*
70,Dylan Beavers,OF,BAL,24.5,63,-7,2022,Debuted,Y,6,*05xty*
71,Cooper Pratt,SS,MIL,21.4,64,-7,2023,2026,Y,6,*067xj*
72,Jonny Farmelo,OF,SEA,21.4,41,-31,2023,2026,,6,*066sx*
73,Francisco Renteria,OF,PHI,17,NR,NA,2026,2031,,6,*0724c*
74,Owen Caissie,OF,MIA,23.6,68,-6,2020,Debuted,Y,6,*05jsg*
75,Charlie Condon,1B,COL,22.8,71,-4,2024,2026,Y,6,*06alk*
76,Ricky Tiedemann,P,TOR,23.4,73,-3,2021,2026,Y,6,*05js6*
77,Cam Caminiti,P,ATL,19.5,74,-3,2024,2026,Y,6,*062e0*
78,Connelly Early,P,BOS,23.8,121,43,2023,Debuted,Y,6,*06f1r*
79,Ethan Holliday,SS,COL,18.9,86,7,2025,2028,,6,*062cx*
80,Tyson Lewis,SS,CIN,20,42,-38,2024,2027,,6,*06mnk*
81,Quinn Mathews,P,STL,25.3,77,-4,2023,2025,,6,*060gd*
82,Hector Rodriguez,OF,CIN,21.9,78,-4,2021,2026,,6,*05xse*
83,Bo Davidson,OF,SF,23.6,116,33,2023,2026,Y,6,*06hua*
84,Kendry Chourio,P,KC,18.3,90,6,2025,2029,Y,6,*06rm6*
85,Wandy Asigen,SS,NYM,16.4,NR,NA,2026,2030,,6,*071wa*
86,Jacob Reimer,3B,NYM,21.9,80,-6,2022,2026,Y,6,*06481*
87,Harry Ford,C,WSH,22.9,81,-6,2021,Debuted,Y,6,*05raw*
88,Caden Scarborough,P,TEX,20.8,102,14,2023,2026,Y,6,*06f1j*
89,Troy Melton,P,DET,25.2,82,-7,2022,Debuted,Y,6,*05uc4*
90,Angel Genao,"3B,SS",CLE,21.7,83,-7,2021,2026,Y,6,*05r5e*
91,Kaelen Culpepper,SS,MIN,23.1,84,-7,2024,2026,Y,6,*06hx4*
92,Arjun Nimmala,SS,TOR,20.3,85,-7,2023,2026,Y,6,*05y3p*
93,Jamie Arnold,P,ATH,21.9,61,-32,2025,2026,,6,*06ktt*
94,Juneiker Caceres,OF,CLE,18.5,87,-7,2024,2028,Y,6,*06mmx*
95,Cam Collier,"1B,3B",CIN,21.2,88,-7,2022,2026,Y,6,*05u1y*
96,Carlos Lagrange,P,NYY,22.7,89,-7,2022,2026,Y,7,*062h4*
97,Tanner McDougal,P,CHW,22.8,176,79,2021,2026,Y,7,*05xpj*
