Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",16,6,22,2.49168,31,31,0,0,,187,754,142,56,52,14,54,,8,240,11.5943,2.58882,4.4786,0.690846,0.319093,0.0712484,0.24784453958272934,0.204964,1.0478,0.291588,0.792713,,,2.57348,5.80644,6.7642,11.600000381469727,,,,,,,1136.3999999999999,6.077005347593582,1047,5.598930481283422,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",16,8,22,2.72796,32,32,0,0,,201,807,159,67,61,19,46,,8,233,10.3961,2.05983,5.04704,0.857077,0.288417,0.0571458,0.23127159476280212,0.211034,1.0176,0.278838,0.776388,,,2.89696,5.34402,5.99406,13.029999732971191,,,,,,,1144.3000000000002,5.693034825870647,1062,5.2835820895522385,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",14,8,20,2.99612,31,31,0,0,,169,679,134,61,56,17,50,,7,216,11.5302,2.66051,4.33382,0.88773,0.31841,0.073471,0.24493901431560516,0.214724,1.08727,0.300387,0.762417,,,2.89648,4.59169,4.92137,22.770000457763672,,,,,,,954.1000000000003,5.645562130177516,885,5.236686390532545,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Zack Wheeler","PHI",14,9,20,3.23783,32,32,0,0,,204,830,170,80,73,24,53,,8,221,9.75975,2.36031,4.13495,1.05527,0.265814,0.0642848,0.20152942836284637,0.22054,1.09523,0.277917,0.754282,,,3.42985,4.44318,4.98367,20.6299991607666,,,,,,,1031.4,5.055882352941177,967,4.740196078431373,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Webb","SFG",14,10,19,3.51121,32,32,0,0,,207,862,206,88,81,16,46,,8,179,7.81408,1.99476,3.9173,0.701273,0.208131,0.0531312,0.15499940887093544,0.254733,1.21769,0.309758,0.714033,,,3.22717,4.28366,4.03136,101.80000305175781,,,,,,,995.4000000000002,4.808695652173914,1023,4.942028985507246,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Chris Sale","ATL",13,9,19,3.30496,31,31,0,0,,186,750,157,74,68,20,51,,8,215,10.4066,2.48036,4.19559,0.968924,0.286391,0.06826,0.21813081204891205,0.226959,1.12019,0.299884,0.741756,,,3.20174,4.16149,4.46811,35.13999938964844,,,,,,,975.2,5.243010752688172,923,4.962365591397849,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Logan Gilbert","SEA",15,9,21,3.11073,32,32,0,0,,204,828,168,77,70,25,45,,8,214,9.48479,2.00318,4.73488,1.09295,0.258957,0.0546914,0.20426585152745247,0.216182,1.04581,0.266563,0.763077,,,3.42217,3.91501,4.52283,24.43000030517578,,,,,,,1034.3000000000002,5.070098039215687,964,4.7254901960784315,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Framber Valdez","HOU",13,8,18,3.24254,29,29,0,0,,186,770,161,73,67,15,59,,8,184,8.90229,2.86371,3.10866,0.746067,0.238892,0.0768474,0.16204485297203064,0.228672,1.18249,0.288595,0.739833,,,3.34852,3.784,4.20947,62.20000076293945,,,,,,,940.3000000000001,5.055376344086022,902,4.849462365591398,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Jacob deGrom","TEX",12,7,17,2.98169,26,26,0,0,,152,600,114,55,50,19,38,,6,187,11.0937,2.25965,4.90951,1.1247,0.311231,0.0633935,0.24783741682767868,0.204885,1.00307,0.27112,0.774312,,,3.19625,3.72352,4.07383,39.400001525878906,,,,,,,836.6999999999999,5.504605263157894,755,4.967105263157895,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Pablo López","MIN",13,10,19,3.61256,32,32,0,0,,198,818,178,87,80,25,51,,8,206,9.36157,2.31087,4.0511,1.11624,0.25232,0.0622842,0.1900353990495205,0.234576,1.15405,0.290597,0.729938,,,3.59038,3.68033,3.51203,64.29000091552734,,,,,,,929.9000000000001,4.696464646464647,900,4.545454545454546,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
"Dylan Cease","SDP",14,9,19,3.38283,32,32,0,0,,193,808,156,79,73,22,74,,9,227,10.5851,3.44303,3.07434,1.03837,0.281502,0.0915648,0.18993689119815826,0.21479,1.18809,0.280684,0.757437,,,3.59714,3.56326,3.93578,46,,,,,,,956.9999999999999,4.958549222797927,884,4.580310880829016,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Tyler Glasnow","LAD",11,6,16,3.01989,24,24,0,0,,146,587,114,53,49,15,45,,6,175,10.8265,2.75214,3.93386,0.938409,0.298663,0.0759212,0.2227419689297676,0.211804,1.08535,0.284531,0.765259,,,3.15769,3.55421,3.90522,109.51000213623047,,,,,,,796.5000000000001,5.455479452054795,732,5.013698630136986,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Cole Ragans","KCR",13,9,19,3.42886,31,31,0,0,,182,759,152,76,69,19,67,,8,203,10.0309,3.33253,3.00998,0.935102,0.266964,0.088693,0.17827145010232925,0.222994,1.20872,0.289021,0.745445,,,3.53301,3.54962,4.07751,49.16999816894531,,,,,,,898.8999999999999,4.939010989010988,844,4.637362637362638,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Gerrit Cole","NYY",13,9,19,3.39807,31,31,0,0,,188,785,156,77,71,26,55,,8,211,10.1062,2.62659,3.84763,1.24638,0.268305,0.0697325,0.19857240468263626,0.215224,1.12071,0.266578,0.764249,,,3.72307,3.53039,4.01489,61.060001373291016,,,,,,,898.8000000000001,4.780851063829788,835,4.441489361702128,,,,,,,,,,,,,,,,,,,"Gerrit Cole","13125",543037
"George Kirby","SEA",13,9,19,3.24647,31,31,0,0,,179,730,159,70,64,22,28,,7,173,8.72065,1.41299,6.17177,1.10428,0.237297,0.0384487,0.198847908526659,0.229347,1.04902,0.274981,0.746699,,,3.40545,3.50249,3.6707,45.20000076293945,,,,,,,881.6,4.925139664804469,850,4.748603351955308,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Aaron Nola","PHI",12,9,18,3.70918,31,31,0,0,,187,775,173,84,77,24,45,,8,187,9.03383,2.15624,4.18961,1.17229,0.241622,0.0576716,0.18395023047924042,0.238723,1.1645,0.289977,0.727353,,,3.69167,3.48555,3.38279,86.51000213623047,,,,,,,853.8,4.565775401069518,838,4.481283422459893,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Blake Snell","LAD",13,8,18,3.29025,29,29,0,0,,171,716,129,68,62,19,76,,8,221,11.6407,4.01606,2.89854,1.0013,0.308821,0.106543,0.20227724313735962,0.204993,1.20362,0.28215,0.767586,,,3.50655,3.48388,3.87981,44.2599983215332,,,,,,,886.3000000000001,5.183040935672515,798,4.666666666666667,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Sonny Gray","STL",13,9,18,3.60074,31,31,0,0,,184,759,167,80,73,20,53,,8,188,9.20436,2.58748,3.55726,0.965211,0.247645,0.0696167,0.1780281439423561,0.238706,1.19473,0.299544,0.72541,,,3.50258,3.46498,3.42864,104.5999984741211,,,,,,,874.4000000000001,4.752173913043479,853,4.635869565217392,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Corbin Burnes","ARI",13,9,19,3.46851,31,31,0,0,,189,788,170,79,73,19,56,,8,189,9.0246,2.65646,3.39723,0.914866,0.239949,0.0706308,0.1693180426955223,0.234765,1.19702,0.292349,0.735836,,,3.4947,3.4423,4.15632,40.83000183105469,,,,,,,908.9000000000001,4.808994708994709,884,4.677248677248677,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Max Fried","NYY",12,9,17,3.40511,29,29,0,0,,174,725,153,72,66,17,52,,7,163,8.42935,2.67931,3.14609,0.897785,0.224731,0.0714318,0.15329904854297638,0.229546,1.17633,0.279034,0.7361,,,3.60991,3.36362,3.63309,102.70999908447266,,,,,,,829.7000000000003,4.768390804597702,798,4.586206896551724,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Yoshinobu Yamamoto","LAD",12,8,17,3.38266,28,28,0,0,,156,644,135,64,59,17,46,,7,170,9.77224,2.65598,3.67934,0.975281,0.263577,0.071637,0.19193999469280243,0.228031,1.15766,0.291368,0.742731,,,3.41427,3.30444,3.31325,58.77000045776367,,,,,,,775.3000000000002,4.969871794871796,740,4.743589743589744,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Cristopher Sánchez","PHI",11,9,16,3.77846,29,29,0,0,,171,711,166,78,72,16,47,,7,146,7.69557,2.48488,3.09696,0.824117,0.205602,0.0663885,0.13921382278203964,0.252753,1.24699,0.303777,0.704728,,,3.59941,3.26073,2.96573,177.25999450683594,,,,,,,767.0000000000001,4.485380116959065,777,4.543859649122807,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Hunter Greene","CIN",12,9,17,3.66947,29,29,0,0,,173,734,142,77,71,25,65,,8,208,10.8152,3.39612,3.18457,1.29018,0.283137,0.0889091,0.19422785937786102,0.215587,1.20119,0.274796,0.755498,,,3.89512,3.21484,3.68305,98.83000183105469,,,,,,,800.5,4.627167630057803,737,4.2601156069364166,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Sandy Alcantara","MIA",11,9,16,3.77073,28,28,0,0,,175,735,174,80,73,19,40,,7,152,7.80418,2.05232,3.80262,0.95727,0.206626,0.0543377,0.15228796005249023,0.252318,1.21925,0.299449,0.71159,,,3.61955,3.20171,3.19225,162.39999389648438,,,,,,,771.9,4.410857142857143,791,4.52,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Hunter Brown","HOU",12,9,17,3.4911,29,29,0,0,,169,707,147,72,66,17,59,,7,179,9.55195,3.1323,3.0495,0.918917,0.253632,0.0831714,0.1704602614045143,0.229127,1.21699,0.291687,0.738625,,,3.54733,3.10591,3.17625,101.83000183105469,,,,,,,819.3000000000002,4.847928994082841,784,4.6390532544378695,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Yusei Kikuchi","LAA",12,10,17,3.73503,31,31,0,0,,175,723,149,79,73,23,57,,7,194,10.0136,2.9158,3.43427,1.20762,0.268987,0.0783242,0.1906626746058464,0.226633,1.17828,0.285453,0.732013,,,3.78609,3.08736,3.07482,148.60000610351562,,,,,,,820.6999999999999,4.6897142857142855,772,4.411428571428571,,,,,,,,,,,,,,,,,,,"Yusei Kikuchi","20633",579328
"Justin Steele","CHC",12,9,16,3.65623,29,29,0,0,,171,707,159,76,69,18,46,,7,163,8.57565,2.44677,3.50489,0.948131,0.230419,0.0657421,0.16467686742544174,0.242941,1.20045,0.297834,0.718677,,,3.56929,3.04781,2.91063,122.11000061035156,,,,,,,797.6,4.664327485380117,788,4.608187134502924,,,,,,,,,,,,,,,,,,,"Justin Steele","17312",657006
"Kevin Gausman","TOR",12,11,17,3.93772,32,32,0,0,,198,833,185,95,87,26,59,,8,196,8.89284,2.67951,3.31884,1.1717,0.235317,0.0709036,0.16441385447978973,0.24111,1.22811,0.291991,0.717352,,,3.90336,3.03282,2.58619,167.11000061035156,,,,,,,855.4000000000001,4.320202020202021,843,4.257575757575758,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Spencer Strider","ATL",10,5,13,3.00778,21,21,0,0,,119,486,93,44,40,13,37,,5,159,12.0268,2.79514,4.30276,0.998664,0.327879,0.076202,0.2516773045063019,0.208834,1.08808,0.292881,0.775212,,,2.99392,2.99327,3.23366,134.49000549316406,,,,,,,670.8999999999999,5.637815126050419,618,5.19327731092437,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Grayson Rodriguez","BAL",11,8,17,3.43058,28,28,0,0,,159,668,138,66,61,18,52,,7,174,9.84477,2.9254,3.36527,0.99214,0.260981,0.0775512,0.18342941254377365,0.225996,1.18903,0.287811,0.746792,,,3.51695,2.98911,3.102,105.48999786376953,,,,,,,767.4000000000001,4.826415094339623,732,4.60377358490566,,,,,,,,,,,,,,,,,,,"Grayson Rodriguez","24492",680570
"Zac Gallen","ARI",12,9,16,3.75184,29,29,0,0,,172,730,164,78,72,19,51,,7,174,9.13096,2.67242,3.41673,0.992644,0.238965,0.0699395,0.16902512311935425,0.244677,1.25261,0.303983,0.726003,,,3.59046,2.95748,3.12039,117.5999984741211,,,,,,,786.6999999999999,4.573837209302325,787,4.575581395348837,,,,,,,,,,,,,,,,,,,"Zac Gallen","19291",668678
"Brandon Woodruff","MIL",11,7,15,3.36577,24,24,0,0,,147,607,124,60,55,19,39,,6,166,10.1856,2.38919,4.26319,1.18064,0.273778,0.064219,0.20955915749073029,0.220773,1.11045,0.278343,0.757436,,,3.52751,2.95167,3.30677,237.4600067138672,,,,,,,728.6999999999999,4.957142857142856,685,4.659863945578231,,,,,,,,,,,,,,,,,,,"Brandon Woodruff","16162",605540
"Tanner Bibee","CLE",12,9,17,3.57243,29,29,0,0,,174,732,153,75,69,23,50,,7,180,9.32879,2.60556,3.58034,1.16416,0.246319,0.0687976,0.1775212660431862,0.227092,1.16978,0.277051,0.744663,,,3.77035,2.88394,3.1992,88.16999816894531,,,,,,,795.9000000000003,4.5741379310344845,760,4.367816091954023,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
"Freddy Peralta","MIL",13,9,18,3.60494,31,31,0,0,,177,740,146,77,71,24,63,,8,199,10.1237,3.21068,3.15313,1.20171,0.268757,0.0852351,0.1835220605134964,0.218526,1.18372,0.27453,0.748638,,,3.85577,2.87137,3.4527,100.66000366210938,,,,,,,819.9999999999999,4.63276836158192,758,4.2824858757062145,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Mitch Keller","PIT",11,10,16,4.06218,31,31,0,0,,181,771,181,89,82,21,53,,8,167,8.33537,2.6545,3.14008,1.05016,0.216936,0.0690862,0.14785024523735046,0.254308,1.29472,0.305724,0.708655,,,3.84473,2.86018,2.64792,298.6300048828125,,,,,,,761.5000000000001,4.20718232044199,783,4.3259668508287294,,,,,,,,,,,,,,,,,,,"Mitch Keller","17594",656605
"Tanner Houck","BOS",8,7,16,3.90279,39,29,0,1,,180,766,177,85,78,18,57,,8,161,8.02982,2.8434,2.82402,0.888738,0.209586,0.0742153,0.13537021726369858,0.251737,1.29708,0.303589,0.710585,,,3.74421,2.84931,2.96578,218.77000427246094,,,,,,,781.3999999999999,4.34111111111111,797,4.427777777777778,,,,,,,,,,,,,,,,,,,"Tanner Houck","19879",656557
"Nathan Eovaldi","TEX",11,9,16,3.74782,29,29,0,0,,177,738,159,80,74,22,52,,7,170,8.65441,2.66155,3.25164,1.12784,0.230575,0.0709103,0.15966447442770004,0.234027,1.19264,0.28103,0.72534,,,3.88615,2.80925,2.95251,199.11000061035156,,,,,,,788.7999999999998,4.456497175141242,762,4.305084745762712,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Seth Lugo","KCR",11,10,17,4.04846,31,31,0,0,,189,805,188,93,85,23,52,,8,167,7.98654,2.46629,3.23828,1.11066,0.207897,0.0641999,0.14369750022888184,0.251925,1.26968,0.296543,0.7096,,,3.9448,2.79951,2.76016,183.8300018310547,,,,,,,780.9000000000003,4.131746031746033,800,4.232804232804233,,,,,,,,,,,,,,,,,,,"Seth Lugo","12447",607625
"Michael King","SDP",12,10,17,3.81994,31,31,0,0,,179,749,159,83,76,22,62,,8,186,9.39055,3.12308,3.00682,1.09397,0.249086,0.0828404,0.166245698928833,0.234442,1.23739,0.292006,0.725074,,,3.83299,2.77616,2.56339,60.83000183105469,,,,,,,802.6,4.4837988826815645,771,4.307262569832402,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Brady Singer","CIN",10,10,15,4.27436,29,29,0,0,,171,734,173,89,81,23,50,,7,159,8.3804,2.65022,3.16215,1.20573,0.216844,0.068575,0.14826934039592743,0.255776,1.30646,0.303664,0.704024,,,4.05854,2.74107,2.34094,350.9700012207031,,,,,,,679.7,3.974853801169591,703,4.111111111111111,,,,,,,,,,,,,,,,,,,"Brady Singer","25377",663903
"Brayan Bello","BOS",11,10,15,4.03089,29,29,0,0,,168,721,166,82,75,17,59,,8,158,8.46415,3.16089,2.67777,0.903996,0.219047,0.0818021,0.1372453272342682,0.253966,1.34097,0.311351,0.709621,,,3.7799,2.73575,2.62332,314.3999938964844,,,,,,,717.5000000000001,4.270833333333334,734,4.369047619047619,,,,,,,,,,,,,,,,,,,"Brayan Bello","23920",678394
"Luis Castillo","SEA",13,9,18,3.47789,31,31,0,0,,183,762,154,77,71,23,55,,8,190,9.36159,2.72459,3.43597,1.15059,0.249534,0.072624,0.17690984904766083,0.220882,1.14724,0.269898,0.748945,,,3.78352,2.72415,3.11846,94.45999908447266,,,,,,,861.9000000000002,4.709836065573771,807,4.409836065573771,,,,,,,,,,,,,,,,,,,"Luis Castillo","15689",622491
"Spencer Schwellenbach","ATL",12,9,16,3.75457,29,29,0,0,,173,720,160,79,72,21,48,,7,164,8.52974,2.47326,3.44878,1.06683,0.227671,0.066015,0.161656454205513,0.240696,1.20065,0.290372,0.720021,,,3.76071,2.72225,3.04302,82.70999908447266,,,,,,,768.9000000000001,4.444508670520232,755,4.364161849710983,,,,,,,,,,,,,,,,,,,"Spencer Schwellenbach","31846",680885
"Zach Eflin","BAL",11,10,16,3.91814,29,29,0,0,,177,735,175,84,77,23,32,,7,148,7.53971,1.6506,4.56785,1.16382,0.201701,0.0441566,0.15754418820142746,0.2521,1.17457,0.290717,0.703626,,,3.83734,2.70686,2.29613,184.25999450683594,,,,,,,750.9000000000001,4.242372881355933,765,4.322033898305085,,,,,,,,,,,,,,,,,,,"Zach Eflin","13774",621107
"Jared Jones","PIT",8,7,16,3.68499,36,28,0,1,,164,693,147,74,67,18,58,,7,167,9.14568,3.19325,2.86407,0.983603,0.241056,0.0841655,0.1568901687860489,0.233711,1.24671,0.290849,0.73101,,,3.75276,2.69367,2.98444,143.4600067138672,,,,,,,753,4.591463414634147,729,4.445121951219512,,,,,,,,,,,,,,,,,,,"Jared Jones","27863",683003
"Shota Imanaga","CHC",11,9,16,3.87502,29,29,0,0,,181,744,168,85,78,26,40,,7,173,8.61733,1.9673,4.38029,1.29097,0.232901,0.0531701,0.17973069474101067,0.240823,1.14656,0.285033,0.715096,,,3.88959,2.67398,2.58602,76.08999633789062,,,,,,,787.8000000000002,4.3524861878453045,772,4.265193370165746,,,,,,,,,,,,,,,,,,,"Shota Imanaga","33829",684007
"Jack Flaherty","DET",11,9,16,3.84591,29,29,0,0,,171,721,154,80,73,23,56,,7,187,9.83319,2.93346,3.35208,1.18506,0.259049,0.0772801,0.18176871538162231,0.23466,1.22895,0.293964,0.72967,,,3.80157,2.65753,2.46415,140.88999938964844,,,,,,,767.1,4.485964912280702,741,4.333333333333333,,,,,,,,,,,,,,,,,,,"Jack Flaherty","17479",656427
"Clay Holmes","NYM",5,3,14,3.25982,52,21,0,1,,151,649,136,60,55,10,59,,7,153,9.08057,3.48775,2.60356,0.58514,0.235157,0.0903214,0.14483612775802612,0.233136,1.2867,0.299744,0.745264,,,3.29483,2.61194,2.68652,306.2300109863281,,,,,,,752.8000000000001,4.98543046357616,737,4.880794701986755,,,,,,,,,,,,,,,,,,,"Clay Holmes","13649",605280
"Joe Ryan","MIN",11,8,16,3.53456,28,28,0,0,,157,644,131,68,62,24,38,,6,171,9.78442,2.14969,4.55156,1.3813,0.265565,0.058346,0.20721938461065292,0.218937,1.07413,0.264825,0.750862,,,3.82311,2.59843,2.89078,94.02999877929688,,,,,,,735.9999999999999,4.6878980891719735,683,4.350318471337579,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Shohei Ohtani","LAD",9,6,13,3.14981,21,21,0,0,,121,499,94,46,42,15,41,,5,149,11.0441,3.01106,3.66784,1.08361,0.298156,0.0812891,0.21686655282974243,0.206662,1.10708,0.272788,0.772311,,,3.41029,2.59478,2.98784,1.4600000381469727,,,,,,,626.5000000000001,5.177685950413224,570,4.710743801652892,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Shane McClanahan","TBR",8,6,15,3.56428,34,26,0,1,,159,649,138,69,63,19,46,,7,165,9.34429,2.59475,3.60124,1.05544,0.253583,0.0704155,0.18316741287708282,0.230769,1.15708,0.288025,0.729708,,,3.60348,2.58742,2.60903,119.11000061035156,,,,,,,759.1000000000001,4.774213836477989,723,4.547169811320755,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Kumar Rocker","TEX",6,4,14,3.3608,36,23,0,1,,137,577,117,56,51,16,44,,6,155,10.1588,2.90706,3.49453,1.02778,0.268659,0.0768799,0.19177920371294022,0.221798,1.17362,0.284097,0.755382,,,3.49257,2.58365,2.66566,276.8599853515625,,,,,,,676.8000000000002,4.940145985401461,641,4.678832116788321,,,,,,,,,,,,,,,,,,,"Kumar Rocker","31843",677958
"Carlos Rodón","NYY",12,10,17,3.8043,31,31,0,0,,175,731,144,81,74,27,61,,8,195,10.0512,3.12468,3.21671,1.38481,0.26706,0.0830228,0.18403730541467667,0.217655,1.17224,0.266346,0.742624,,,4.10667,2.5797,2.7165,123.54000091552734,,,,,,,771.5000000000001,4.408571428571429,707,4.04,,,,,,,,,,,,,,,,,,,"Carlos Rodon","16137",607074
"MacKenzie Gore","WSN",11,11,16,4.18211,31,31,0,0,,173,728,162,88,80,21,65,,8,175,9.09131,3.36561,2.70124,1.07705,0.239789,0.08877,0.1510191634297371,0.24741,1.31253,0.307421,0.703063,,,3.9591,2.53196,1.96555,195.30999755859375,,,,,,,731.7,4.229479768786128,723,4.179190751445087,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Ranger Suárez","PHI",7,6,15,4.00463,40,28,0,1,,164,691,160,80,73,18,51,,7,146,8.00842,2.80102,2.8591,0.96264,0.211682,0.0740378,0.1376439556479454,0.252318,1.2825,0.302989,0.703159,,,3.83988,2.52297,2.14923,253.8300018310547,,,,,,,698.2,4.257317073170732,708,4.317073170731708,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Taj Bradley","TBR",12,9,17,3.62876,29,29,0,0,,171,718,147,75,69,22,57,,7,181,9.52144,2.98489,3.18987,1.15382,0.25189,0.0789655,0.17292439192533493,0.224653,1.19089,0.277054,0.742049,,,3.84303,2.50479,2.76774,192.8300018310547,,,,,,,782.6000000000001,4.576608187134504,739,4.321637426900585,,,,,,,,,,,,,,,,,,,"Taj Bradley","22543",671737
"Bryce Miller","SEA",13,9,18,3.48365,31,31,0,0,,174,725,149,73,67,23,47,,7,171,8.85275,2.45705,3.603,1.18471,0.235804,0.0654465,0.17035748064517975,0.222132,1.12976,0.264479,0.747767,,,3.85382,2.49379,2.98888,80.11000061035156,,,,,,,797.3000000000003,4.5821839080459785,751,4.316091954022989,,,,,,,,,,,,,,,,,,,"Bryce Miller","29837",682243
"Roki Sasaki","LAD",0,0,9,5.49265,24,24,0,0,,138,629,142,88,84,15,37,,5,119,7.80882,2.44853,3.18919,0.992647,0.190016,0.0595813,0.1304347701370716,0.241796,1.30147,0.280269,0.576923,,,3.79148,2.43654,-0.266725,999,,,,,,,579.5,4.199275362318841,607,4.398550724637682,,,,,,,,,,,,,,,,,,,"Roki Sasaki","sa3025686",808963
"Kodai Senga","NYM",8,6,16,3.52024,36,26,0,1,,162,682,132,69,63,18,69,,8,178,9.90664,3.85877,2.56731,0.980021,0.260701,0.101547,0.15915457159280777,0.218023,1.24557,0.279058,0.748648,,,3.8078,2.40912,2.82443,150.97000122070312,,,,,,,763.1999999999998,4.71111111111111,705,4.351851851851852,,,,,,,,,,,,,,,,,,,"Kodai Senga","31838",673540
"Nick Pivetta",,11,10,15,3.9684,29,29,0,0,,163,679,142,78,72,24,55,,7,181,9.98835,3.01505,3.31283,1.30274,0.266356,0.0804014,0.18595456331968307,0.230478,1.2081,0.287472,0.722568,,,3.96399,2.40127,2.34187,198.08999633789062,,,,,,,717.8,4.403680981595092,679,4.1656441717791415,,,,,,,,,,,,,,,,,,,"Nick Pivetta","15454",601713
"Bailey Ober","MIN",11,10,16,3.91436,29,29,0,0,,172,720,156,82,75,27,43,,7,175,9.17247,2.26357,4.05221,1.43166,0.243404,0.0600669,0.18333673477172852,0.232538,1.15719,0.274839,0.729976,,,4.07323,2.38018,2.35961,79.97000122070312,,,,,,,735.0999999999998,4.273837209302324,709,4.122093023255814,,,,,,,,,,,,,,,,,,,"Bailey Ober","21224",641927
"Bryan Woo","SEA",11,7,16,3.24412,26,26,0,0,,144,595,119,57,52,18,36,,6,144,9.03801,2.23852,4.03749,1.15224,0.242225,0.0599939,0.18223078548908234,0.215763,1.08085,0.25844,0.762137,,,3.68992,2.33526,2.8704,139.50999450683594,,,,,,,696.8000000000002,4.83888888888889,648,4.5,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Jesús Luzardo","PHI",6,6,14,3.97798,41,26,0,1,,161,678,148,78,71,22,51,,7,166,9.30299,2.86141,3.2512,1.2297,0.244736,0.0752756,0.16946003586053848,0.238425,1.23881,0.29132,0.721752,,,3.95921,2.33324,2.1933,234.8000030517578,,,,,,,698.0000000000002,4.335403726708076,681,4.229813664596273,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Reese Olson","DET",10,8,15,3.60139,26,26,0,0,,144,613,130,63,58,15,48,,6,138,8.60607,2.99478,2.87369,0.945989,0.225335,0.0784131,0.14692191034555435,0.233445,1.23545,0.284294,0.733619,,,3.75066,2.32675,2.54722,260.1400146484375,,,,,,,657.1000000000001,4.563194444444445,639,4.4375,,,,,,,,,,,,,,,,,,,"Reese Olson","24968",681857
"Reynaldo López","ATL",11,10,16,4.09382,31,31,0,0,,178,748,163,88,81,23,63,,8,181,9.14288,3.21076,2.84758,1.15305,0.24149,0.0848053,0.15668434649705887,0.241636,1.27629,0.297362,0.710598,,,4.00397,2.31304,2.42894,161.25999450683594,,,,,,,759.5000000000002,4.266853932584271,740,4.157303370786517,,,,,,,,,,,,,,,,,,,"Reynaldo Lopez","16400",625643
"Nick Lodolo","CIN",8,7,12,3.9637,23,23,0,0,,125,527,116,60,55,16,41,,5,130,9.34251,2.93103,3.18745,1.14611,0.246879,0.0774533,0.16942544281482697,0.24103,1.25016,0.298535,0.717561,,,3.85321,2.31138,2.21205,251.4600067138672,,,,,,,548.6,4.3888,539,4.312,,,,,,,,,,,,,,,,,,,"Nick Lodolo","26378",666157
"Ryan Pepiot","TBR",12,9,17,3.58642,29,29,0,0,,166,701,138,72,66,22,59,,7,178,9.63487,3.22184,2.99049,1.19666,0.253428,0.0847447,0.168683260679245,0.217455,1.18901,0.26663,0.751618,,,3.96184,2.23454,2.77673,169.42999267578125,,,,,,,757.0000000000002,4.560240963855423,702,4.228915662650603,,,,,,,,,,,,,,,,,,,"Ryan Pepiot","26221",686752
