Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tyler Holton","DET",4,4,0,3.5072,72,0,6,13,,72,301,64,31,28,8,20,,3,64,8.04617,2.47412,3.25213,1.03729,0.21354,0.0656614,0.14787812530994415,0.228748,1.16019,0.26916,0.735422,,,3.82636,0.478154,0.730373,484.7099914550781,,,,,,,409.0000000000001,5.680555555555557,397,5.513888888888889,,,,,,,,,,,,,,,,,,,"Tyler Holton","26231",663947
"Triston McKenzie","CLE",3,4,10,4.55644,41,19,0,1,,130,574,121,72,66,21,58,,6,120,8.30281,4.035,2.0577,1.41578,0.209741,0.10193,0.10781136155128479,0.237637,1.37538,0.272834,0.711964,,,4.85843,0.475539,0.54548,537.489990234375,,,,,,,441.1,3.393076923076923,429,3.3,,,,,,,,,,,,,,,,,,,"Triston McKenzie","18000",663474
"Taylor Rogers","CIN",3,3,0,4.00981,62,0,3,13,,62,265,55,30,28,8,25,,3,68,9.80006,3.69388,2.65305,1.1835,0.25476,0.0960254,0.1587349697947502,0.231366,1.29355,0.289465,0.727325,,,4.06984,0.469502,0.546831,641.6900024414062,,,,,,,336.4,5.425806451612903,325,5.241935483870968,,,,,,,,,,,,,,,,,,,"Taylor Rogers","13449",573124
"Landen Roupp","SFG",2,2,4,3.59735,51,5,0,1,,72,309,63,32,29,6,32,,3,75,9.30584,3.93718,2.36358,0.787073,0.241925,0.102355,0.1395697519183159,0.231393,1.31417,0.29589,0.73641,,,3.69081,0.468633,0.60325,538.6300048828125,,,,,,,344.20000000000005,4.780555555555556,331,4.597222222222222,,,,,,,,,,,,,,,,,,,"Landen Roupp","30076",694738
"Robby Snelling","MIA",4,4,5,4.79301,11,11,0,0,,67,292,69,39,36,8,27,,3,51,6.78938,3.66518,1.8524,1.12894,0.173266,0.0935363,0.0797300860285759,0.264388,1.43817,0.299883,0.678389,,,4.65205,0.466741,0.387498,999,,,,,,,229.99999999999997,3.432835820895522,243,3.626865671641791,,,,,,,,,,,,,,,,,,,"Robby Snelling","sa3020707",702281
"Yennier Cano","BAL",3,3,0,3.38734,61,0,1,12,,61,255,54,25,23,5,22,,3,62,9.14849,3.27456,2.79381,0.705686,0.243162,0.0870363,0.1561262011528015,0.233377,1.24413,0.299537,0.734382,,,3.37788,0.466479,0.475555,707.77001953125,,,,,,,351.5000000000001,5.762295081967215,342,5.60655737704918,,,,,,,,,,,,,,,,,,,"Yennier Cano","25911",666974
"AJ Smith-Shawver","ATL",2,2,5,4.11127,43,8,0,1,,81,346,70,40,37,11,36,,4,84,9.43183,4.03876,2.33533,1.1963,0.243716,0.104361,0.13935574889183044,0.229914,1.32311,0.282766,0.724859,,,4.2895,0.465061,0.632105,497.30999755859375,,,,,,,334.0999999999999,4.12469135802469,314,3.876543209876543,,,,,,,,,,,,,,,,,,,"AJ Smith-Shawver","29960",700363
"Cal Quantrill",,6,10,9,5.48289,24,24,0,0,,135,592,153,90,82,20,51,,6,93,6.21907,3.40695,1.82541,1.3332,0.157101,0.0860635,0.07103735953569412,0.28596,1.51474,0.315259,0.649672,,,4.98595,0.464536,-0.518664,999,,,,,,,370.2,2.7422222222222223,430,3.185185185185185,,,,,,,,,,,,,,,,,,,"Cal Quantrill","19312",615698
"Osvaldo Bido","ATH",2,2,5,3.83453,49,8,0,1,,86,366,74,40,36,11,34,,4,82,8.65836,3.58227,2.417,1.14161,0.225101,0.0931323,0.13196894526481628,0.225309,1.26083,0.268545,0.734349,,,4.22459,0.45264,0.614529,480.260009765625,,,,,,,362.69999999999993,4.217441860465115,341,3.9651162790697674,,,,,,,,,,,,,,,,,,,"Osvaldo Bido","23150",674370
"Dennis Santana","PIT",3,3,0,3.89314,66,0,2,12,,66,285,61,31,29,7,27,,3,65,8.90267,3.74861,2.37493,0.9468,0.228791,0.0963361,0.13245514780282974,0.238502,1.33705,0.294849,0.726685,,,3.94735,0.447358,0.64955,638.9400024414062,,,,,,,341.70000000000005,5.177272727272728,337,5.106060606060606,,,,,,,,,,,,,,,,,,,"Dennis Santana","17878",642701
"Brock Burke","LAA",3,3,0,3.84778,66,0,3,13,,66,280,58,31,28,9,23,,3,66,9.04516,3.20333,2.82368,1.17548,0.237099,0.0839683,0.15313096344470978,0.22993,1.23844,0.27822,0.730856,,,4.05627,0.443032,0.536382,747.7999877929688,,,,,,,347.9000000000001,5.271212121212122,334,5.0606060606060606,,,,,,,,,,,,,,,,,,,"Brock Burke","17968",656271
"JoJo Romero","STL",3,3,0,3.61729,61,0,1,12,,61,257,56,27,25,6,20,,3,59,8.7159,3.01938,2.88665,0.862725,0.230049,0.0796942,0.1503552421927452,0.238912,1.25061,0.296183,0.726997,,,3.61366,0.442569,0.468318,739.7100219726562,,,,,,,334.0000000000001,5.475409836065576,329,5.39344262295082,,,,,,,,,,,,,,,,,,,"JoJo Romero","19574",668941
"Andrew Nardi","MIA",3,3,0,3.54797,58,0,1,10,,58,243,48,25,23,7,22,,3,70,10.9198,3.48011,3.13778,1.04843,0.290035,0.0924333,0.19760210812091827,0.221174,1.21638,0.294527,0.746051,,,3.55017,0.435017,0.491735,724.5700073242188,,,,,,,328.3,5.660344827586207,309,5.327586206896552,,,,,,,,,,,,,,,,,,,"Andrew Nardi","25942",677053
"Bryce Elder","ATL",1,1,3,4.3951,21,6,0,1,,54,233,57,29,26,6,18,,2,43,7.17504,2.97345,2.41304,1.00002,0.183975,0.0762423,0.10773303359746933,0.265096,1.37973,0.307616,0.691366,,,4.14146,0.433189,0.350732,747.0900268554688,,,,,,,207.60000000000002,3.844444444444445,222,4.111111111111111,,,,,,,,,,,,,,,,,,,"Bryce Elder","27779",693821
"Caden Dana","LAA",4,5,6,4.66247,13,13,0,0,,72,314,68,41,37,12,31,,3,63,7.90579,3.84298,2.0572,1.45836,0.200782,0.0975996,0.10318247973918915,0.241388,1.36838,0.272553,0.703056,,,4.94149,0.419518,0.405158,585.030029296875,,,,,,,232.40000000000003,3.2277777777777783,228,3.1666666666666665,,,,,,,,,,,,,,,,,,,"Caden Dana","31508",702674
"Andrew Kittredge","BAL",3,3,0,3.79552,66,0,2,13,,66,278,60,30,28,8,20,,3,63,8.52451,2.79425,3.05074,1.08078,0.225201,0.0738185,0.15138228982686996,0.237181,1.2242,0.28495,0.72304,,,3.89356,0.418707,0.490351,616.0900268554688,,,,,,,353.0000000000001,5.34848484848485,345,5.2272727272727275,,,,,,,,,,,,,,,,,,,"Andrew Kittredge","12828",552640
"Luis García",,3,3,0,3.82196,58,0,0,0,,58,245,55,27,25,6,20,,3,53,8.24667,3.07348,2.68317,0.861685,0.216919,0.0808445,0.1360747590661049,0.246143,1.28632,0.300403,0.7138,,,3.7354,0.4167,0.367966,999,,,,,,,249.40000000000003,4.300000000000001,249,4.293103448275862,,,,,,,,,,,,,,,,,,,"Luis Garcia","6984",472610
"Scott Barlow",,3,3,0,3.53818,62,0,0,0,,62,267,52,27,24,6,28,,3,69,9.99013,4.05589,2.46311,0.938998,0.257756,0.104646,0.15310967713594437,0.219697,1.28714,0.282346,0.751708,,,3.79983,0.408861,0.606352,999,,,,,,,294.79999999999995,4.7548387096774185,277,4.467741935483871,,,,,,,,,,,,,,,,,,,"Scott Barlow","14993",605130
"Jordan Romano","PHI",3,3,0,3.97039,59,0,23,4,,59,249,52,28,26,8,24,,3,62,9.40793,3.58661,2.62307,1.14759,0.247903,0.0945089,0.15339452028274536,0.23142,1.27148,0.286783,0.722478,,,4.06683,0.404823,0.494884,189.42999267578125,,,,,,,377.00000000000006,6.389830508474577,365,6.186440677966102,,,,,,,,,,,,,,,,,,,"Jordan Romano","16122",605447
"Seth Halvorsen","COL",3,3,0,4.34453,63,0,9,8,,63,277,62,33,30,7,29,,3,62,8.89909,4.20854,2.11453,0.976969,0.224725,0.106276,0.11844833195209503,0.251424,1.44383,0.311504,0.709513,,,4.15187,0.40098,0.582904,375.7699890136719,,,,,,,323.90000000000003,5.141269841269842,329,5.222222222222222,,,,,,,,,,,,,,,,,,,"Seth Halvorsen","33294",678020
"Derek Law","WSN",4,4,0,4.08525,72,0,12,12,,72,306,69,36,33,8,26,,3,61,7.68272,3.19868,2.40184,0.959796,0.201009,0.0836896,0.11731941252946854,0.249887,1.31662,0.296077,0.703188,,,4.04608,0.382852,0.267647,664.2899780273438,,,,,,,398.0000000000001,5.5277777777777795,399,5.541666666666667,,,,,,,,,,,,,,,,,,,"Derek Law","13133",571882
"Edwin Uceta","TBR",3,3,0,3.41952,65,0,9,11,,65,276,52,27,25,8,26,,3,72,9.9961,3.59831,2.77799,1.12553,0.261803,0.0942416,0.16756094247102737,0.209144,1.19381,0.261235,0.764509,,,3.90889,0.379109,0.806596,316.9100036621094,,,,,,,393.40000000000003,6.052307692307693,367,5.6461538461538465,,,,,,,,,,,,,,,,,,,"Edwin Uceta","20539",670955
"Ryan Fernandez","STL",3,3,0,3.85901,65,0,1,16,,65,276,59,30,28,6,26,,3,64,8.89566,3.64684,2.43928,0.899391,0.232982,0.0955124,0.137469120323658,0.23953,1.31323,0.299014,0.720099,,,3.84349,0.376664,0.452364,999,,,,,,,363.80000000000007,5.596923076923078,357,5.492307692307692,,,,,,,,,,,,,,,,,,,"Ryan Fernandez","24862",681676
